,title,link,author,published,long,lat,summary_pydeck
0,"Emergency Management and Civil Protection Act (EMCPA) investigation, Goldie Nightclub",http://torontopolice.on.ca/newsreleases/47469,b3856@torontopolice.on.ca (b3856),"Tue, 30 Jun 2020 19:25:00 -0400",-79.385269,43.661188,"The Toronto Police Service would like to make the public aware of an investigation under the Emergency Management and Civil Protection Act (EMCPA).

On Friday, June 26, 2020, in the evening, officers became aware that Goldie night club, located at 619 King Street West, was operating indoors against the EMCPA.

It is alleged that:

- the club has no outdoor patio or seating areas

- it has no permit for outdoor service of any kind 

- patrons were allowed entry through the rear of the club

- there were no social distancing measures enforced

- it is estimated 125-150 people were observed inside

The owner, manager, and corporation will be charged with:

1)  Fail to Comply with an Order Made During a Declared Emergency

This incident was investigated by the Toronto Police Service and information has been forwarded to the Alcohol and Gaming Commission of Ontario (AGCO).


Anyone with information is asked to contact police at 416-808-1400, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
1,"Police seek assistance identifying man in sexual assault investigation,  Jane Street and Dundas Street West area",http://torontopolice.on.ca/newsreleases/47479,b99792@torontopolice.on.ca (b99792),"Tue, 30 Jun 2020 16:30:00 -0400",-79.385269,43.661188,"The Toronto Police Service is alerting the public to a sexual assault investigation and is seeking assistance in identifying the suspect.

The incident took place on Saturday, June 27, 2020, at 12:15 p.m., in the Jane Street area between Dundas Street West and St Clair Avenue West.

It has been reported that:

- a 22-year-old woman was walking southbound on Jane Street when she was approached by a man who sexually assaulted her

The man is described as white, in his mid thirties, 5'11"", slim build, and bald.  He was wearing a blue t-shirt and pants. 


Anyone with information is asked to contact police at 416-808-1100, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, text TOR and your message to CRIMES (274637), or Leave A Tip on Facebook. Download the free Crime Stoppers Mobile App on iTunes, Google Play or Blackberry App World.


A sexual assault is any form of unwanted sexual contact. It includes, but is not limited to, kissing, grabbing, oral sex and penetration. To learn more about sexual assault, including how to report a sexual assault, please visit our Sex Crimes website.


For more news, visit TPSnews.ca"
2,"Suspect Sought in Sexual Assault Investigation, Woodbine Park, Update, Man arrested and charged",http://torontopolice.on.ca/newsreleases/47478,b9620@torontopolice.on.ca (b9620),"Tue, 30 Jun 2020 11:45:00 -0400",-79.3160156,43.6635851,"The Toronto Police Service would like to make the public aware of an arrest made in a Sexual Assault investigation.

On Tuesday, June 23, 2020, at approximately 5.30 p.m., police responded to a call for a sexual assault.

It is reported that:

- a woman, 70, was walking in Woodbine Park between the hours of 1 p.m. and 2 p.m., when she was approached by the suspect and was sexually assaulted

See previous release.


On Saturday, June 27, 2020, Mohamed Ahmed, 23, of Toronto, was arrested and charged with:

1. Sexual Assault
2. Robbery
3. Utter Threats &#8211; Death
4. Theft Under $5000
5. Fail to Comply Probation

He was scheduled to appear at court at Old City Hall, on Sunday, June 28, 2020.


For more news, visit TPSnews.ca."
3,"Police Seek Assistance with Stabbing Investigation, Front Street and John Street area",http://torontopolice.on.ca/newsreleases/47475,b9620@torontopolice.on.ca (b9620),"Tue, 30 Jun 2020 11:33:00 -0400",-79.3908502,43.6439849,"The Toronto Police Service is seeking the public's assistance with a stabbing investigation.

On Tuesday, June 30, 2020, at 12:25 a.m., police were called to the John Street and Front Street West area for a stabbing.

It is reported that:

- a 19-year-old man was walking on Front Street near John Street where he came across a group of five other males

- they assaulted and robbed the man

- during the assault he was stabbed numerous times with a screwdriver

- he received wounds to his upper body

- he was transported to hospital in serious medical condition

The unknown males are described as:

1. black, under 6', black hair, wearing a dark long-sleeved shirt, khaki pants, and a white surgical mask
2. white, under 6', wearing a long-sleeved hooded shirt, dark colored shorts, backwards ball cap, carrying a black Air Jordan satchel across the chest, white sneakers, black socks
3. white, under 6', wearing a gold chain, black t-shirt, black ball cap worn side-ways, carrying a light colored satchel bag, dark pants, dark shoes
4. black, around 6', black hair, wearing white t-shirt with dark markings on it, blue jeans, light colored sneakers
5. white, around 6', blond hair, wearing white t-shirt, blue jeans with a rip on the right knee, dark sneakers, wearing a dark colored knapsack on back.

The Toronto Police Service is asking for assistance in locating witnesses and in identifying the suspect in this offence.

Anyone with information is asked to contact police at 416-808-5200, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
4,"On-Street Parking Enforcement, Resume to Regular Duties",http://torontopolice.on.ca/newsreleases/47467,b9620@torontopolice.on.ca (b9620),"Tue, 30 Jun 2020 09:30:00 -0400",-79.385269,43.661188,"The Toronto Police Service has been working closely with our City of Toronto Emergency Management partners in response to the Covid-19 pandemic.  We have been taking advice from public health officials and making decisions that balance our need to provide community safety with maintaining the health and safety of our members. 

Starting July 2, 2020, the Parking Enforcement Unit will be returning to regular enforcement of on-street parking regulations with a phased-in approach over the next several weeks.  

On Thursday, the following parking violations will be enforced in a regular and routine manner:

- enforcement of change-over parking in areas where parking regulations require a change from one side of the street to the other

- enforcement of paid on-street parking regulations

Members of the public will be required to move their vehicles to the permitted side of the street and pay for on-street parking, where required.

Parking Enforcement will continue to exercise discretion in other on-street areas and enforcement will only take place when necessary to ensure the safe flow of traffic. 

Further updates will be provided with news releases and will be made available at www.torontopolice.on.ca/parking.


For more news, visit TPSnews.ca."
5,"Missing man,  Bleecker Street and Wellesley Street area,  Maurice Stone, 51",http://torontopolice.on.ca/newsreleases/47476,b9231@torontopolice.on.ca (b9231),"Tue, 30 Jun 2020 09:03:00 -0400",-79.3759423,43.6672707,"The Toronto Police Service is requesting the public&#8217;s assistance locating a missing man.

Maurice Stone, 51, was last seen on Monday, June 8, 2020, in the Bleecker Street and Wellesley Street area.

He is described as 5'7"", 165lbs, with a shaved head and goatee.

He also is known by the name ""Johnny Smash"" and is known to frequent the Dundas Street and Sherbourne Street area.

Anyone with information is asked to contact police at 416-808-5100, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
6,"Public Safety Alert, Quantity of medication stolen, Cosburn Avenue and Logan Avenue area",http://torontopolice.on.ca/newsreleases/47473,b3856@torontopolice.on.ca (b3856),"Mon, 29 Jun 2020 21:55:00 -0400",-79.3554874,43.6885299,"The Toronto Police Service would like to make the public aware of a quantity of medication reported stolen on Monday, June 29, 2020, in the Cosburn Avenue and Logan Aveune area.

Medication reported as stolen:

- Approximately 28 Pills - Dextroamphetamine
- Approximately 18 pills - Tramadol
- Undetermined amount - Lyrica

This medication may be harmful/fatal if ingested, especially to children.


Anyone with information is asked to contact police at 416-808-5500, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
7,"Missing man, Shady Golfway and Linkwood Lane area, Peter Liakakis, 62",http://torontopolice.on.ca/newsreleases/47472,b3856@torontopolice.on.ca (b3856),"Mon, 29 Jun 2020 21:51:00 -0400",-79.3287081,43.7177074,"The Toronto Police Service requests the public&#8217;s assistance locating a missing man.

Peter Liakakis, 62, was last seen on Saturday, June 28, 2020, at 6 p.m., in the Shady Golfway and Linkwood Lane area.   

He is described as 5'9"", 250 lbs., heavy build, with long grey hair, a full grey beard, and brown eyes. 

Police are concerned for his safety.


Anyone with information is asked to contact police at 416-808-5500, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
8,"Missing man, Kennedy Road and Highway 401 area, Carlton Brown, 21",http://torontopolice.on.ca/newsreleases/47471,b3856@torontopolice.on.ca (b3856),"Mon, 29 Jun 2020 21:48:00 -0400",-79.2840368,43.772082,"The Toronto Police Service requests the public&#8217;s assistance locating a missing man.

Carlton Brown, 21, was last seen on Sunday, June 28, 2020, at 7 p.m., in the Kennedy Road and Highway 401 area. 

He is described as 6'1"", 161 lbs., with a light complexion, and curly black hair.

He is possibly operating a vehicle described as an older model gold Chrysler.

Police are concerned for his safety.


Anyone with information is asked to contact police at 416-808-4200, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
9,"Homicide #34/2020, Ontario Street and Wellesley Street East area, Update, Connor Madison, 22, arrested",http://torontopolice.on.ca/newsreleases/47470,b3856@torontopolice.on.ca (b3856),"Mon, 29 Jun 2020 19:55:00 -0400",-79.385269,43.661188,"The Toronto Police Service would like to make the public aware of an arrest made in a homicide investigation.

The Toronto Police Service received a radio call to attend the area of Ontario Street and Wellesley Street East on Thursday, June 25, 2020, at 11:34 p.m.

See previous release.

Toronto Police Homicide investigators, with the assistance of York Regional Police Service, located and arrested Connor Madison, 22, of Toronto. 

He is charged with:

1. Second Degree Murder

He will appear, via video, in court at College Park on Tuesday, June 30, 2020, at 10 a.m., in room 507.

The Toronto Police Service would like to thank the York Regional Police Service for their assistance.


Anyone with information is asked to contact police at 416-808-7400, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
